LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;default.payment.next.month
390000;1;1;2;27;0
250000;1;2;1;46;0
50000;1;3;2;39;0
260000;2;3;1;41;0
135000;2;2;2;28;0
165000;2;2;1;38;0
110000;1;2;2;45;0
115000;2;2;2;47;0
290000;1;2;1;41;0
80000;2;2;2;24;0
140000;;1;1;34;0
260000;2;1;1;40;0
85000;2;2;2;36;0
455000;1;2;2;30;0
20000;1;2;2;27;0
65000;2;3;2;32;0
290000;1;3;1;61;0
250000;1;2;1;40;0
330000;;2;1;42;0
240000;1;2;2;34;0
235000;2;2;1;35;0
130000;2;2;2;31;0
300000;1;1;1;40;0
200000;2;1;1;40;0
245000;1;2;1;40;0
200000;2;1;1;64;0
150000;2;2;2;30;0
290000;2;2;1;29;0
80000;2;1;2;39;0
30000;2;3;1;59;0
240000;1;1;2;38;0
150000;2;3;2;33;0
20000;2;2;1;43;1
;2;2;3;49;0
150000;1;5;2;31;0
155000;1;2;1;29;0
40000;2;2;2;;0
140000;2;2;2;27;0
75000;2;2;2;27;0
60000;1;2;2;34;0
115000;1;1;2;27;0
140000;1;5;2;26;0
335000;2;3;2;35;0
50000;1;3;2;24;0
130000;2;1;2;30;0
35000;2;2;1;46;0
420000;2;2;1;40;0
300000;2;3;1;31;0
175000;2;2;2;32;0
100000;1;2;1;35;0
65000;1;2;2;33;0
300000;2;2;2;;0
120000;1;2;1;37;0
60000;2;2;1;40;0
325000;1;1;1;31;0
115000;2;3;1;32;0
220000;2;3;2;32;0
55000;2;1;2;28;0
30000;1;3;2;26;0
40000;1;2;2;40;0
110000;2;1;1;43;0
205000;2;2;2;33;0
295000;1;2;1;32;0
115000;2;2;1;37;0
50000;2;2;2;23;0
210000;2;3;2;56;0
65000;2;2;1;42;0
160000;2;2;1;47;0
50000;1;2;1;57;0
260000;1;2;1;39;0
265000;2;2;1;40;0
30000;1;2;2;32;1
115000;1;3;1;40;0
90000;2;2;1;32;0
270000;2;3;1;37;0
290000;1;2;1;39;0
360000;2;2;1;40;0
120000;2;2;1;37;0
30000;1;3;1;;0
150000;1;2;1;46;0
115000;2;1;2;30;0
20000;1;2;2;23;0
145000;2;2;1;53;0
200000;2;2;1;32;0
105000;2;2;1;27;0
260000;2;1;2;28;0
150000;1;2;1;34;0
260000;2;1;1;40;0
280000;1;1;2;36;0
400000;1;3;1;43;0
325000;2;1;2;40;0
160000;2;1;1;43;0
210000;2;1;1;34;0
230000;1;1;1;35;0
190000;2;1;1;41;0
350000;1;2;;36;0
150000;2;2;2;34;1
165000;;2;1;32;0
185000;2;3;2;36;0
50000;1;3;3;58;0
50000;2;2;1;30;0
150000;2;3;2;28;0
55000;2;2;0;41;0
320000;1;2;1;38;0
245000;1;1;2;38;0
180000;2;2;2;35;0
25000;;3;1;36;0
110000;2;1;2;36;0
100000;2;3;3;47;0
340000;2;2;1;33;0
;2;3;2;42;0
240000;2;1;1;37;0
230000;2;4;1;42;0
500000;1;1;1;46;0
30000;1;;2;29;0
60000;2;2;2;33;0
100000;2;2;1;42;0
130000;1;2;1;47;0
230000;2;3;1;48;0
315000;1;2;2;42;0
40000;1;3;2;30;0
90000;2;2;;36;0
500000;1;1;2;34;0
230000;2;2;2;37;0
65000;1;3;2;39;0
280000;2;2;2;25;0
110000;2;2;1;34;0
290000;2;1;1;34;0
70000;2;1;2;29;0
140000;2;2;2;25;0
290000;1;1;1;32;0
125000;2;2;1;38;0
310000;1;1;2;32;0
135000;1;2;2;46;0
105000;2;3;1;44;0
215000;2;2;2;33;0
125000;1;2;2;30;0
60000;1;3;1;58;0
165000;1;1;1;32;0
75000;2;2;2;27;0
170000;2;2;2;34;0
30000;1;2;1;51;0
60000;2;2;1;44;0
210000;2;2;1;29;0
30000;2;2;2;27;0
20000;1;2;1;40;0
20000;1;2;2;22;0
160000;1;2;2;27;0
220000;2;2;2;32;0
230000;2;2;2;31;0
150000;2;1;1;31;0
55000;1;2;1;24;0
20000;2;2;1;39;0
170000;2;2;2;38;0
230000;2;2;1;36;0
200000;;2;2;33;0
60000;2;2;1;32;0
480000;1;2;1;44;0
;1;2;2;24;0
30000;2;2;1;33;0
300000;2;2;1;30;0
50000;2;2;2;23;0
170000;2;1;2;25;0
110000;2;2;2;27;0
240000;1;2;2;54;0
185000;2;2;2;40;0
185000;2;;1;38;0
160000;1;4;2;26;0
70000;2;3;2;29;0
50000;1;;1;;0
140000;2;2;2;30;0
50000;2;3;1;45;0
240000;2;3;1;32;0
20000;1;2;1;47;0
220000;2;1;2;29;0
170000;1;2;2;39;0
155000;1;1;2;32;0
125000;2;3;1;31;0
50000;2;2;1;26;0
30000;;2;1;35;0
195000;1;;1;40;0
360000;1;2;1;29;0
260000;1;1;1;32;0
75000;2;2;1;29;0
145000;2;2;2;36;0
100000;2;2;1;42;0
80000;1;1;;26;0
155000;1;2;1;29;0
90000;1;3;2;29;0
190000;1;3;1;34;0
20000;2;3;2;28;1
;2;2;2;29;0
260000;2;2;1;41;0
170000;1;2;2;32;0
210000;2;3;2;35;0
150000;1;2;2;33;0
150000;2;1;2;23;0
175000;2;1;2;32;0
240000;2;2;1;27;0
70000;2;2;2;24;0
400000;1;2;1;34;0
100000;2;2;1;37;0
265000;2;3;1;34;0
140000;2;2;1;34;0
120000;1;1;1;51;0
220000;1;2;1;36;0
220000;2;;2;33;0
190000;1;2;1;35;0
500000;2;1;1;33;0
50000;1;2;2;23;0
140000;1;2;2;30;0
160000;2;2;1;38;0
225000;2;3;2;31;0
150000;1;1;2;36;0
260000;1;;2;30;0
180000;2;3;2;48;0
310000;2;2;1;46;0
120000;1;4;1;39;0
70000;;3;2;26;0
65000;1;3;1;45;0
50000;2;1;;35;0
150000;2;2;2;39;0
30000;2;2;1;47;0
240000;1;2;2;29;0
500000;2;2;1;37;0
170000;2;1;2;29;0
60000;2;2;2;25;0
30000;2;3;0;30;0
500000;1;2;1;48;0
280000;2;2;2;30;0
230000;1;1;1;53;0
215000;2;3;1;54;0
210000;2;2;2;31;0
500000;1;1;2;30;0
210000;2;1;2;30;0
280000;1;2;1;38;0
20000;1;2;1;32;0
245000;2;2;2;52;0
180000;2;1;2;29;0
200000;2;2;1;38;0
125000;2;2;1;37;0
440000;1;1;2;31;0
20000;1;2;2;36;1
125000;1;1;2;40;0
260000;2;5;1;33;0
230000;2;2;1;40;0
110000;1;2;1;42;0
400000;2;2;2;50;0
200000;1;1;2;27;0
80000;2;3;1;54;0
210000;2;1;1;38;0
340000;1;1;2;35;0
30000;1;1;2;26;0
230000;2;1;2;24;0
420000;2;1;1;40;0
60000;2;1;2;23;0
50000;2;2;2;26;0
265000;2;3;2;27;0
50000;2;3;1;45;0
140000;1;2;2;39;0
80000;2;2;2;31;0
280000;1;2;1;46;0
180000;2;3;1;35;0
110000;2;2;2;24;0
280000;2;2;2;29;0
210000;2;1;1;33;0
220000;2;2;2;41;0
130000;1;2;2;32;0
240000;1;3;2;29;0
50000;2;2;2;24;0
160000;2;3;2;29;0
175000;2;1;2;29;0
270000;1;3;1;46;0
20000;1;2;1;51;0
50000;1;2;2;53;0
140000;2;2;3;30;0
30000;2;1;;37;0
500000;2;;1;44;0
180000;2;3;1;37;0
330000;2;3;2;38;0
155000;2;2;2;42;0
320000;2;3;1;35;0
240000;2;3;2;50;0
290000;2;1;2;34;0
250000;2;2;1;44;0
170000;2;2;2;45;0
180000;1;2;2;32;0
170000;2;2;2;37;0
90000;1;3;3;40;0
160000;1;2;1;38;0
275000;1;2;1;34;0
70000;2;3;1;49;0
45000;2;2;2;28;0
130000;1;3;2;28;0
30000;2;2;1;49;0
200000;2;2;2;35;0
40000;2;1;2;23;0
480000;2;2;2;33;0
80000;2;2;2;33;0
140000;1;2;2;34;0
265000;1;2;1;61;0
;2;2;1;36;0
40000;1;2;1;42;0
175000;1;3;2;34;0
90000;2;2;2;34;0
185000;2;2;2;32;0
125000;2;3;1;35;0
80000;2;2;2;24;0
100000;2;1;2;30;0
180000;2;1;1;37;0
280000;2;2;1;44;0
;;2;1;36;0
60000;2;2;1;27;0
340000;1;2;2;30;0
320000;2;2;2;30;0
20000;2;1;2;31;0
300000;1;1;2;30;0
485000;2;2;1;44;0
80000;1;3;1;31;0
;2;1;2;27;0
370000;2;2;2;36;0
270000;1;2;2;33;0
30000;1;2;2;33;0
115000;2;2;2;33;0
20000;2;2;2;24;0
70000;2;1;2;30;0
50000;2;2;2;23;0
50000;1;3;2;;0
155000;2;3;1;37;0
50000;2;2;2;;0
410000;2;1;2;30;0
160000;2;1;2;26;0
190000;1;;1;47;0
50000;1;1;1;41;0
270000;1;2;2;35;0
45000;1;2;2;25;0
90000;1;2;2;30;0
120000;2;1;1;51;0
;2;3;2;45;0
190000;2;2;2;27;0
;2;2;1;35;0
250000;2;2;1;26;1
20000;1;1;1;40;0
20000;1;3;1;26;1
70000;2;2;2;32;0
140000;2;1;2;24;0
200000;2;1;1;34;0
90000;2;2;2;29;0
205000;2;2;2;35;0
150000;2;2;1;33;0
170000;1;2;1;43;0
;2;1;1;29;0
85000;1;2;1;;0
130000;1;1;2;43;0
50000;1;2;2;25;0
125000;2;1;2;28;0
205000;1;3;3;42;0
240000;1;2;2;28;0
280000;2;1;1;36;0
125000;2;3;1;28;0
180000;1;3;1;42;0
120000;2;2;1;40;0
120000;1;2;3;37;0
50000;2;2;1;36;0
360000;2;2;2;34;0
90000;2;2;2;28;0
230000;2;5;2;45;0
250000;2;2;2;27;0
145000;1;2;1;52;0
95000;1;;2;28;0
50000;2;2;2;22;0
170000;2;1;1;41;0
165000;2;2;1;29;0
;1;2;2;25;0
50000;2;2;2;43;0
130000;2;2;2;29;0
155000;1;2;1;49;0
380000;1;1;1;39;0
215000;1;2;1;35;0
150000;2;1;;35;0
50000;2;1;2;22;0
150000;2;2;1;37;0
320000;2;2;1;28;0
205000;1;3;1;39;0
20000;2;2;2;23;0
140000;2;1;2;27;0
70000;2;1;2;28;0
430000;2;2;2;33;0
45000;2;2;2;34;0
90000;2;2;2;26;0
200000;1;2;1;35;0
210000;1;1;2;30;0
155000;2;2;2;37;0
270000;1;2;1;39;0
280000;2;2;2;31;0
330000;1;2;1;65;0
110000;2;1;2;25;0
20000;1;2;2;31;0
240000;1;2;2;67;0
150000;2;2;1;42;0
65000;1;3;2;29;0
110000;2;2;1;36;0
50000;1;2;2;51;0
200000;2;2;1;32;0
280000;2;2;1;56;0
110000;1;1;2;34;0
190000;2;1;2;32;0
290000;2;;1;49;0
80000;2;3;1;48;0
155000;1;2;1;36;0
285000;2;2;1;37;0
460000;1;2;2;30;0
295000;2;2;2;29;0
270000;2;2;2;33;0
205000;1;1;2;26;0
205000;1;2;1;39;0
140000;1;3;2;39;0
185000;;2;2;26;0
45000;1;3;1;43;0
225000;1;1;2;39;0
110000;1;2;2;37;0
500000;2;2;1;38;0
440000;1;1;2;43;0
;2;2;1;30;0
245000;1;2;1;41;0
205000;1;;2;54;0
130000;2;2;2;24;0
385000;2;2;1;31;0
50000;1;3;1;55;0
130000;2;1;2;28;0
365000;1;2;2;30;0
185000;2;2;2;29;0
100000;2;2;1;43;0
60000;2;3;1;37;0
205000;;2;2;27;0
50000;1;1;2;34;0
230000;2;5;1;32;0
30000;1;1;1;33;0
230000;2;2;1;37;0
225000;1;4;2;49;0
70000;2;1;2;27;0
60000;2;3;2;23;0
140000;2;2;1;41;0
120000;1;2;2;29;0
320000;2;2;2;36;0
220000;2;1;2;31;0
280000;2;2;1;36;0
205000;1;2;1;30;0
80000;1;2;2;29;0
60000;2;1;2;25;0
95000;2;3;2;29;0
170000;2;2;1;34;0
75000;1;2;2;46;0
230000;2;2;2;30;0
330000;2;1;1;31;0
160000;2;1;2;26;0
50000;2;2;2;22;0
510000;2;4;1;34;0
80000;2;2;2;37;0
140000;1;2;1;38;0
210000;1;1;1;44;0
215000;2;2;1;50;0
125000;1;2;1;36;0
115000;1;1;1;29;0
115000;2;2;2;36;0
140000;1;2;1;37;0
320000;1;1;1;40;0
310000;2;2;1;30;0
445000;2;2;2;41;0
40000;2;2;2;33;0
50000;2;2;2;22;0
50000;2;2;2;23;0
20000;1;3;1;34;0
100000;2;1;1;27;0
390000;2;1;2;43;0
135000;2;3;2;45;0
130000;1;2;2;38;0
330000;2;2;2;38;0
85000;1;2;2;29;0
245000;2;2;2;33;0
300000;2;3;2;34;0
50000;1;2;1;37;0
265000;2;1;2;37;0
500000;2;2;2;;0
260000;1;2;2;40;0
420000;1;2;1;34;0
240000;2;1;1;36;0
50000;1;;1;23;0
350000;1;1;1;56;0
170000;2;2;1;28;0
160000;2;2;2;27;0
180000;;2;1;28;0
170000;1;1;2;24;0
160000;1;2;2;29;0
180000;1;2;2;29;0
435000;1;2;2;41;0
155000;2;2;1;31;0
250000;2;1;2;31;0
80000;2;;2;27;0
265000;2;3;1;43;0
195000;2;2;1;33;0
100000;2;2;1;41;0
;1;2;2;25;0
150000;2;2;2;37;0
270000;2;1;2;31;0
;1;2;1;41;0
175000;2;3;2;35;0
230000;1;3;1;39;0
50000;1;2;2;45;0
50000;2;3;1;39;0
90000;1;1;2;30;0
500000;2;3;1;41;0
180000;2;1;2;27;0
205000;2;2;1;36;0
60000;2;2;1;29;0
70000;2;1;3;38;0
195000;1;2;2;32;0
160000;1;2;1;47;0
170000;2;2;1;23;0
215000;2;3;1;34;0
260000;1;4;1;44;0
270000;2;1;2;32;0
455000;1;2;1;37;0
10000;2;;2;55;0
70000;2;1;2;24;0
80000;2;1;2;33;0
;2;2;1;36;0
100000;2;2;1;45;0
275000;1;2;2;40;0
170000;2;3;1;36;0
260000;1;1;1;39;0
360000;1;3;2;40;0
190000;1;2;1;39;0
520000;2;1;1;43;0
60000;2;2;1;36;0
170000;2;2;2;;0
50000;1;2;2;22;0
225000;2;2;2;34;0
50000;2;2;1;41;0
160000;2;1;2;24;0
265000;2;2;2;39;0
295000;2;1;2;38;0
125000;2;2;2;37;0
85000;2;2;1;35;0
140000;1;1;2;29;0
300000;1;1;1;54;0
180000;2;2;1;40;0
80000;2;2;1;36;0
95000;2;3;2;32;0
470000;1;3;2;31;0
50000;1;1;2;24;0
220000;2;1;2;30;0
180000;1;2;2;26;0
120000;2;2;2;36;0
180000;;;2;27;0
360000;1;1;2;33;0
50000;1;3;2;30;0
130000;1;2;2;25;0
500000;2;2;1;36;0
175000;2;2;2;39;0
50000;2;2;1;38;0
85000;2;3;2;47;0
210000;1;1;1;52;0
260000;1;1;2;39;0
50000;2;2;2;24;0
240000;1;1;;28;0
295000;2;1;1;40;0
195000;1;2;1;38;0
100000;2;1;2;29;0
325000;2;1;1;39;0
100000;1;1;1;35;0
365000;2;3;1;33;0
180000;1;3;2;29;0
180000;1;1;2;30;0
95000;2;2;2;36;0
290000;1;2;1;42;0
265000;1;2;2;30;0
20000;2;2;2;26;0
;2;2;2;49;0
330000;2;;1;38;0
80000;2;3;1;40;0
20000;1;2;2;26;0
20000;2;3;2;34;0
155000;2;2;1;35;0
140000;1;2;2;25;0
250000;1;2;2;;0
90000;2;3;1;36;0
155000;2;3;1;48;0
190000;2;2;2;25;0
150000;1;;2;37;0
260000;2;2;2;33;0
75000;2;3;1;41;0
200000;1;;1;35;0
105000;;3;1;39;0
500000;2;2;1;43;0
410000;2;3;2;31;0
155000;1;2;2;29;0
240000;2;3;2;35;0
100000;2;;1;47;0
200000;2;1;2;26;0
155000;2;1;2;28;0
85000;2;2;1;45;0
440000;1;1;2;33;0
50000;2;1;1;22;0
125000;;3;;51;0
85000;1;2;2;25;0
50000;1;3;1;33;0
55000;2;2;2;23;0
60000;2;2;3;29;0
10000;1;3;2;34;0
190000;2;2;1;37;0
255000;2;2;1;49;0
50000;1;2;2;39;1
100000;2;1;2;26;0
265000;1;1;2;45;0
195000;2;1;2;27;0
40000;1;2;2;27;1
155000;2;1;2;37;0
370000;1;2;1;39;0
;2;2;1;31;0
130000;1;2;2;29;0
520000;1;1;2;34;0
150000;2;2;1;35;0
200000;1;2;2;29;0
320000;1;2;2;39;0
230000;1;2;;30;0
380000;2;2;2;34;0
;2;2;1;41;0
235000;2;2;1;33;0
35000;1;2;1;38;0
125000;2;2;1;28;0
270000;2;2;1;37;0
65000;2;2;2;29;0
120000;2;1;2;27;0
95000;2;2;2;35;0
145000;;2;2;35;0
220000;1;1;2;38;0
125000;2;2;1;29;0
80000;2;1;2;23;0
10000;1;3;2;23;0
260000;1;1;2;44;0
180000;2;2;1;37;0
;1;1;1;45;0
350000;2;2;2;27;0
50000;2;2;2;51;0
150000;2;1;2;27;0
150000;1;2;;39;0
360000;1;2;2;28;0
220000;2;;1;39;0
170000;2;2;1;40;0
100000;1;2;2;38;0
290000;1;;2;30;0
280000;1;1;1;35;0
150000;1;2;2;37;0
310000;2;1;2;35;0
50000;1;2;2;33;0
210000;1;3;2;35;0
20000;1;2;2;44;0
10000;2;2;2;34;0
105000;2;3;1;55;0
50000;1;2;2;32;1
125000;2;2;2;29;0
110000;2;2;1;38;0
260000;2;2;2;35;0
280000;1;1;1;45;0
90000;2;2;2;23;0
140000;2;2;2;50;0
160000;2;1;2;37;0
115000;2;3;2;29;0
60000;2;1;2;23;0
360000;2;4;2;36;0
90000;2;2;2;25;0
200000;2;1;2;31;0
40000;2;2;2;31;0
150000;2;1;2;24;0
;;1;2;35;0
150000;1;2;1;35;0
110000;2;2;2;33;0
200000;2;1;1;37;0
65000;2;2;1;43;0
40000;2;2;1;25;0
300000;2;1;1;30;0
50000;1;3;2;22;0
280000;1;2;1;37;0
330000;1;2;2;29;0
165000;2;2;2;36;0
360000;2;2;1;34;0
90000;1;1;2;23;0
75000;1;2;2;26;0
50000;2;2;2;25;1
130000;2;2;2;29;0
200000;2;3;1;51;0
290000;2;2;2;43;0
185000;2;2;1;34;0
80000;2;2;1;36;0
160000;2;2;2;30;0
240000;2;2;1;48;0
400000;1;2;1;46;0
50000;1;2;2;43;0
100000;1;1;2;30;0
60000;2;2;1;;0
360000;2;1;2;29;0
205000;2;2;1;39;0
120000;2;2;1;27;0
165000;1;2;2;39;0
55000;1;2;;38;0
220000;1;3;1;32;0
170000;2;2;1;38;0
155000;1;2;2;39;0
120000;2;2;2;46;0
50000;2;2;2;23;1
;2;1;1;45;0
210000;2;2;1;;0
310000;2;1;1;35;0
215000;1;2;2;29;0
270000;1;1;1;37;0
210000;2;3;2;31;0
90000;2;3;1;56;0
130000;1;2;1;31;0
140000;;1;2;31;0
270000;1;3;2;36;0
200000;2;1;1;45;0
225000;1;1;2;32;0
450000;2;1;2;40;0
110000;2;2;1;44;0
90000;2;2;1;30;0
175000;2;2;2;34;0
200000;2;1;1;35;0
40000;2;3;1;35;0
70000;2;2;2;31;0
95000;1;2;2;28;0
150000;1;3;2;45;0
50000;2;3;1;27;1
160000;2;1;2;26;0
180000;1;2;2;38;0
150000;2;1;2;31;0
50000;2;2;2;23;0
180000;1;2;1;42;0
225000;1;3;1;43;0
175000;2;2;2;35;0
290000;1;1;;28;0
200000;1;3;2;32;0
160000;2;3;2;24;0
135000;2;3;3;36;0
305000;1;1;1;44;0
150000;2;1;2;26;0
50000;2;3;1;22;1
180000;2;2;2;34;0
;2;3;1;33;0
60000;2;2;2;26;0
240000;1;1;2;35;0
260000;2;1;1;40;0
150000;2;1;2;28;0
200000;2;1;1;41;0
205000;2;2;2;27;0
235000;2;2;1;46;0
20000;2;2;1;22;0
100000;;2;2;37;0
120000;2;2;2;33;0
80000;1;2;2;27;0
185000;2;1;2;29;0
265000;2;2;1;31;0
250000;1;3;1;39;0
200000;2;3;2;26;0
70000;2;2;2;;0
260000;1;1;2;31;0
215000;2;;2;38;0
175000;1;2;1;36;0
10000;1;2;2;23;0
40000;2;2;2;27;0
210000;2;2;2;25;0
460000;1;1;1;40;0
360000;1;1;2;;0
50000;2;3;3;23;0
255000;2;3;1;29;0
220000;2;1;1;35;0
20000;1;1;2;23;0
240000;2;2;2;41;0
230000;2;2;1;33;0
160000;1;2;1;46;0
225000;2;;2;38;0
60000;2;1;2;25;0
100000;2;3;1;34;0
90000;1;2;;30;0
20000;1;3;2;28;1
110000;2;2;2;27;0
400000;2;2;2;25;0
30000;2;3;2;40;0
100000;1;3;1;35;0
155000;2;3;1;37;0
70000;2;2;;62;0
80000;1;3;1;39;0
210000;2;4;2;30;0
160000;2;1;2;30;0
430000;2;2;1;42;0
180000;1;2;2;34;0
30000;2;2;2;27;0
360000;2;3;2;36;0
100000;2;2;2;29;0
15000;2;2;1;33;0
100000;1;2;1;40;0
50000;1;3;1;;0
230000;2;1;2;25;0
355000;2;1;1;42;0
150000;2;2;2;24;0
255000;1;2;1;43;0
160000;1;3;2;28;0
30000;1;1;2;23;0
170000;1;2;2;27;0
230000;1;1;1;45;0
100000;2;2;2;37;0
90000;2;2;2;23;0
100000;2;3;1;53;0
130000;1;1;1;35;0
40000;1;2;2;30;0
50000;2;2;1;30;0
150000;1;2;2;38;0
235000;2;2;1;43;0
120000;2;2;2;29;0
120000;2;2;1;42;1
30000;2;2;2;22;0
310000;1;2;2;27;0
190000;2;3;2;30;0
200000;1;2;1;31;0
235000;2;2;1;34;0
500000;2;1;1;45;0
20000;;2;1;39;0
185000;2;2;2;36;0
260000;2;1;2;27;0
100000;2;1;2;25;0
70000;1;2;1;34;0
230000;1;4;1;39;0
320000;1;2;2;33;0
200000;1;1;2;31;0
30000;2;2;1;34;0
;2;;2;32;0
50000;1;2;2;45;0
170000;2;2;2;30;0
275000;2;1;2;30;0
90000;1;1;2;30;0
50000;2;;2;25;0
20000;2;2;1;29;0
30000;1;2;1;38;0
105000;1;2;1;35;0
400000;2;2;2;30;0
245000;2;2;2;33;0
255000;1;2;2;39;0
180000;1;2;2;56;0
30000;2;3;1;46;0
110000;1;2;1;30;0
250000;2;1;1;32;0
50000;1;1;2;27;0
355000;2;3;1;49;0
115000;1;2;2;42;0
50000;1;2;1;56;0
100000;1;1;1;60;0
260000;2;2;1;39;0
210000;2;2;2;28;0
50000;2;2;1;33;0
310000;2;2;1;49;0
240000;1;2;1;47;0
230000;1;2;2;33;0
200000;1;2;2;29;0
170000;2;1;2;27;0
460000;2;2;1;32;0
255000;1;1;1;41;0
125000;1;2;2;28;0
200000;1;2;;26;0
90000;2;2;1;47;0
280000;2;2;2;36;0
215000;1;1;2;26;0
60000;2;2;;28;0
340000;2;2;1;58;0
100000;1;2;2;35;0
20000;1;2;2;24;1
205000;2;3;2;26;0
20000;1;1;1;35;0
130000;1;2;2;28;0
70000;2;3;1;46;0
120000;2;1;2;27;0
450000;1;1;1;46;0
200000;2;1;1;47;0
50000;1;2;2;23;0
50000;2;1;;24;0
100000;1;1;2;28;0
240000;2;2;2;35;0
370000;1;2;1;37;0
210000;1;2;2;40;0
280000;1;1;2;35;0
640000;2;1;2;30;0
230000;2;1;2;30;0
50000;1;1;2;37;0
180000;2;1;2;47;0
360000;1;1;1;34;0
270000;2;2;2;30;0
60000;2;3;1;59;0
310000;2;2;1;40;0
200000;1;1;1;30;0
175000;1;1;1;37;0
105000;2;2;2;42;0
310000;1;2;2;41;0
175000;1;2;1;38;0
180000;2;3;2;34;0
155000;2;2;2;27;0
325000;1;2;1;35;0
